Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Common Cold,Paracetamol,"Nausea, Headache, Dizziness",13,71,30,74,95,151,Moderate,Yes,Food Allergy,None,O+,10
COVID-19,Remdesivir,"Nausea, Headache, Dizziness",11,52,28,65,98,138,Low,Yes,Food Allergy,None,B-,10
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",11,64,45,71,99,135,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,6
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",14,60,35,100,92,161,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
COPD,Amoxicillin,"Nausea, Headache, Dizziness",12,80,37,78,95,138,Avoid,Yes,"Penicillin,Dust,None",None,AB+,9
Syphilis,Paracetamol,"Nausea, Headache, Dizziness",3,64,34,88,99,147,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,8
Anemia,Folic acid,"Nausea, Headache, Dizziness",14,58,41,84,96,154,Moderate,No,None,"None,Statins,Insulin,BP Meds",A-,7
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",9,66,26,91,83,169,Avoid,Yes,"Penicillin,Dust,None",None,B+,9
Zika virus,Amoxicillin,"Nausea, Headache, Dizziness",15,62,36,109,86,136,Avoid,No,"Penicillin,Dust,None",None,O-,6
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",14,52,40,99,92,136,Avoid,No,Food Allergy,None,A-,10
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",6,74,44,86,84,161,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,8
Kidney stones,Ibuprofen,"Nausea, Headache, Dizziness",4,69,40,89,99,132,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,8
Chronic kidney disease,Ibuprofen,"Nausea, Headache, Dizziness",3,76,29,69,98,167,Avoid,No,"Penicillin,Dust,None",None,AB-,7
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",5,54,33,95,89,122,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,7
Breast cancer,Doxorubicin,"Nausea, Headache, Dizziness",2,78,27,109,92,143,Moderate,No,Food Allergy,None,O+,7
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",6,81,31,75,82,152,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
Migraine,Amoxicillin,"Nausea, Headache, Dizziness",4,75,31,69,85,152,Avoid,No,None,None,A-,8
Diabetes mellitus type 2,Metformin,"Nausea, Headache, Dizziness",1,50,32,69,85,128,Low,No,None,None,AB-,10
GERD,Omeprazole,"Nausea, Headache, Dizziness",1,80,42,96,92,138,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,7
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",12,56,25,77,93,127,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",5,58,29,96,91,161,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,6
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",8,80,37,83,85,167,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,8
Obesity,Ibuprofen,"Nausea, Headache, Dizziness",2,77,34,62,99,140,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,7
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",2,50,25,69,93,167,Low,Yes,Food Allergy,None,AB-,9
Anemia,Iron supplements,"Nausea, Headache, Dizziness",2,60,37,73,84,130,Moderate,Yes,"Penicillin,Dust,None",None,O+,10
IBS,Amoxicillin,"Nausea, Headache, Dizziness",13,63,28,106,87,146,Low,Yes,None,None,O+,7
Acne,Amoxicillin,"Nausea, Headache, Dizziness",2,70,33,96,83,166,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B+,6
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",14,71,25,75,87,152,Avoid,No,"Penicillin,Dust,None",None,AB-,6
Asthma,Montelukast,"Nausea, Headache, Dizziness",1,71,36,92,92,124,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,7
HIV/AIDS,Efavirenz,"Nausea, Headache, Dizziness",11,58,32,105,96,150,Low,No,None,"None,Statins,Insulin,BP Meds",AB+,7
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",13,59,27,76,92,158,Moderate,Yes,"Penicillin,Dust,None",None,O-,10
Pneumonia,Ibuprofen,"Nausea, Headache, Dizziness",4,75,30,73,84,135,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB-,6
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",8,76,36,88,86,144,Moderate,No,None,None,A-,10
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",10,60,39,101,95,122,Low,No,None,"None,Statins,Insulin,BP Meds",A-,8
Psoriasis,Paracetamol,"Nausea, Headache, Dizziness",12,65,34,97,91,159,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
IBS,Ibuprofen,"Nausea, Headache, Dizziness",11,77,32,93,90,164,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A-,10
Rabies,Amoxicillin,"Nausea, Headache, Dizziness",11,50,29,70,89,131,Moderate,Yes,None,None,O+,6
Measles,Paracetamol,"Nausea, Headache, Dizziness",9,78,42,94,91,136,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,6
GERD,Ranitidine,"Nausea, Headache, Dizziness",15,82,35,83,82,147,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,6
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",5,79,43,100,94,151,Moderate,Yes,None,None,A-,6
Heart attack,Heparin,"Nausea, Headache, Dizziness",10,61,38,93,85,157,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O+,10
Migraine,Paracetamol,"Nausea, Headache, Dizziness",15,70,32,67,91,129,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,7
Acne,Ibuprofen,"Nausea, Headache, Dizziness",8,69,41,97,91,121,Avoid,Yes,"Penicillin,Dust,None",None,O-,6
Ulcerative colitis,Paracetamol,"Nausea, Headache, Dizziness",14,57,32,80,83,133,Moderate,No,Food Allergy,None,O+,7
Hypertension,Losartan,"Nausea, Headache, Dizziness",14,84,44,64,91,170,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B-,6
Epilepsy,Ibuprofen,"Nausea, Headache, Dizziness",3,50,25,86,84,145,Low,No,Food Allergy,None,A+,6
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",9,77,42,86,88,128,Avoid,Yes,"Penicillin,Dust,None",None,O+,6
Anemia,Folic acid,"Nausea, Headache, Dizziness",14,58,41,84,96,154,Moderate,No,None,"None,Statins,Insulin,BP Meds",A-,7
COVID-19,Paracetamol,"Nausea, Headache, Dizziness",11,66,35,62,94,127,Low,No,None,None,O-,6
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",9,54,32,94,96,161,Moderate,Yes,Food Allergy,None,B+,6
Hepatitis B,Ibuprofen,"Nausea, Headache, Dizziness",13,64,32,101,85,144,Low,No,None,None,AB+,9
Chikungunya,Amoxicillin,"Nausea, Headache, Dizziness",3,85,36,92,84,137,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
Asthma,Montelukast,"Nausea, Headache, Dizziness",15,53,44,104,80,138,Low,No,"Penicillin,Dust,None",None,A-,9
IBS,Ibuprofen,"Nausea, Headache, Dizziness",14,53,30,62,85,157,Low,Yes,None,None,O+,10
Gonorrhea,Ibuprofen,"Nausea, Headache, Dizziness",6,68,26,98,85,166,Low,No,"Penicillin,Dust,None",None,O+,8
Measles,Paracetamol,"Nausea, Headache, Dizziness",11,61,34,87,80,156,Moderate,Yes,Food Allergy,None,AB+,9
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",9,78,38,96,100,139,Low,Yes,Food Allergy,None,B+,9
Migraine,Paracetamol,"Nausea, Headache, Dizziness",10,51,26,94,89,126,Avoid,No,"Penicillin,Dust,None",None,A-,6
Cholera,Ibuprofen,"Nausea, Headache, Dizziness",6,70,31,110,93,150,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
Hepatitis B,Paracetamol,"Nausea, Headache, Dizziness",12,53,45,105,80,127,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,6
Depression,Fluoxetine,"Nausea, Headache, Dizziness",14,59,26,72,94,122,Avoid,No,"Penicillin,Dust,None",None,A-,7
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",1,76,33,89,83,164,Low,Yes,None,None,AB+,8
Eczema,Ibuprofen,"Nausea, Headache, Dizziness",1,77,25,64,83,154,Moderate,No,"Penicillin,Dust,None",None,AB-,6
COPD,Amoxicillin,"Nausea, Headache, Dizziness",14,56,45,107,85,165,Low,No,"Penicillin,Dust,None",None,AB-,6
Alzheimer’s disease,Amoxicillin,"Nausea, Headache, Dizziness",11,64,35,67,85,164,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,9
Dengue,ORS,"Nausea, Headache, Dizziness",14,85,37,73,82,129,Avoid,Yes,"Penicillin,Dust,None",None,O+,9
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",10,78,35,62,90,159,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,8
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",12,84,34,76,100,154,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
IBS,Paracetamol,"Nausea, Headache, Dizziness",15,70,45,92,86,158,Low,No,None,None,B+,7
Depression,Fluoxetine,"Nausea, Headache, Dizziness",13,63,43,70,81,147,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,8
Asthma,Budesonide,"Nausea, Headache, Dizziness",3,83,40,96,80,136,Low,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Cirrhosis,Amoxicillin,"Nausea, Headache, Dizziness",5,64,43,80,100,127,Moderate,Yes,None,None,O-,8
Gout,Ibuprofen,"Nausea, Headache, Dizziness",8,68,29,95,99,158,Avoid,No,"Penicillin,Dust,None",None,O-,8
Chronic kidney disease,Paracetamol,"Nausea, Headache, Dizziness",8,56,44,80,99,133,Avoid,No,Food Allergy,None,B+,9
Stroke,Paracetamol,"Nausea, Headache, Dizziness",8,67,34,84,94,158,Avoid,No,Food Allergy,None,AB+,7
Stroke,Paracetamol,"Nausea, Headache, Dizziness",4,64,41,81,93,123,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,6
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",7,55,44,85,91,147,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,6
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",1,78,37,94,98,166,Low,Yes,None,"None,Statins,Insulin,BP Meds",O+,10
Typhoid,Azithromycin,"Nausea, Headache, Dizziness",11,78,35,92,81,155,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O+,8
Hepatitis B,Paracetamol,"Nausea, Headache, Dizziness",1,65,34,64,86,167,Avoid,No,"Penicillin,Dust,None",None,AB+,10
Influenza,Oseltamivir,"Nausea, Headache, Dizziness",10,66,32,61,89,153,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,7
Syphilis,Amoxicillin,"Nausea, Headache, Dizziness",8,74,30,95,89,138,Low,No,None,"None,Statins,Insulin,BP Meds",B+,10
Eczema,Ibuprofen,"Nausea, Headache, Dizziness",10,71,27,75,86,147,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,10
Vitamin D deficiency,Paracetamol,"Nausea, Headache, Dizziness",10,60,29,63,80,165,Moderate,Yes,None,None,A+,6
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",3,74,33,76,98,120,Low,No,"Penicillin,Dust,None",None,O-,8
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",5,80,34,72,93,127,Moderate,No,None,"None,Statins,Insulin,BP Meds",B-,10
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",9,79,38,82,84,142,Low,No,None,None,O+,10
Hepatitis C,Ibuprofen,"Nausea, Headache, Dizziness",11,75,36,76,95,143,Moderate,Yes,Food Allergy,None,AB+,8
IBS,Ibuprofen,"Nausea, Headache, Dizziness",1,78,35,85,80,168,Avoid,Yes,Food Allergy,None,O+,10
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",9,51,28,101,84,139,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Chikungunya,Amoxicillin,"Nausea, Headache, Dizziness",14,71,27,74,84,169,Avoid,No,"Penicillin,Dust,None",None,AB+,7
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",8,64,31,80,88,167,Avoid,No,"Penicillin,Dust,None",None,A-,10
Tuberculosis,Paracetamol,"Nausea, Headache, Dizziness",8,77,36,94,95,144,Moderate,No,Food Allergy,None,B+,7
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",10,69,34,94,80,161,Avoid,No,None,None,A+,8
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",4,61,36,101,99,157,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,7
Anemia,Iron supplements,"Nausea, Headache, Dizziness",1,59,42,76,88,168,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,10
Psoriasis,Ibuprofen,"Nausea, Headache, Dizziness",7,64,41,70,90,167,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB-,8
Typhoid,Cefixime,"Nausea, Headache, Dizziness",2,59,40,73,84,149,Low,No,"Penicillin,Dust,None",None,O-,8
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",11,82,43,78,87,145,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,8
Chronic kidney disease,Paracetamol,"Nausea, Headache, Dizziness",3,75,38,81,86,169,Low,No,"Penicillin,Dust,None",None,O+,7
COVID-19,Remdesivir,"Nausea, Headache, Dizziness",7,79,38,108,80,121,Low,No,None,"None,Statins,Insulin,BP Meds",O-,8
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",15,54,35,100,84,123,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,7
Osteoporosis,Amoxicillin,"Nausea, Headache, Dizziness",2,65,35,109,80,168,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,9
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",15,51,25,94,86,161,Avoid,Yes,"Penicillin,Dust,None",None,AB+,10
HIV/AIDS,Efavirenz,"Nausea, Headache, Dizziness",12,82,45,102,87,134,Low,No,"Penicillin,Dust,None",None,B+,9
Influenza,Oseltamivir,"Nausea, Headache, Dizziness",6,80,38,73,93,156,Avoid,No,Food Allergy,None,B-,8
PCOS,Paracetamol,"Nausea, Headache, Dizziness",5,79,41,92,96,122,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,8
Alzheimer’s disease,Amoxicillin,"Nausea, Headache, Dizziness",3,62,31,103,91,131,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Migraine,Paracetamol,"Nausea, Headache, Dizziness",10,58,36,64,97,169,Moderate,No,"Penicillin,Dust,None",None,AB-,9
Typhoid,Ciprofloxacin,"Nausea, Headache, Dizziness",7,54,34,63,82,122,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,9
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",14,84,36,81,91,123,Moderate,Yes,"Penicillin,Dust,None",None,A+,9
Rheumatoid arthritis,Amoxicillin,"Nausea, Headache, Dizziness",13,62,27,108,96,170,Low,Yes,"Penicillin,Dust,None",None,A+,9
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",15,72,39,97,82,134,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,10
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",2,63,28,106,89,120,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,8
Hyperthyroidism,Propylthiouracil,"Nausea, Headache, Dizziness",10,82,37,75,81,137,Avoid,No,None,"None,Statins,Insulin,BP Meds",A-,6
Stroke,Paracetamol,"Nausea, Headache, Dizziness",7,85,35,92,90,120,Moderate,No,None,None,AB-,7
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",1,59,37,103,90,128,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
Cholera,Ibuprofen,"Nausea, Headache, Dizziness",8,65,40,92,82,125,Avoid,No,None,None,AB-,10
Colon cancer,Paracetamol,"Nausea, Headache, Dizziness",3,83,40,79,97,164,Moderate,No,Food Allergy,None,AB+,8
Depression,Escitalopram,"Nausea, Headache, Dizziness",10,80,45,101,83,155,Low,Yes,Food Allergy,None,O+,8
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",2,79,36,90,95,134,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Hyperthyroidism,Propylthiouracil,"Nausea, Headache, Dizziness",14,82,38,105,85,128,Moderate,Yes,Food Allergy,None,A-,8
Colon cancer,Paracetamol,"Nausea, Headache, Dizziness",9,50,33,106,83,127,Avoid,Yes,Food Allergy,None,A+,7
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",13,79,44,106,83,151,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,10
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",3,84,30,88,97,138,Avoid,Yes,None,None,B+,8
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",4,60,26,76,81,158,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O+,8
Prostate cancer,Paracetamol,"Nausea, Headache, Dizziness",4,66,33,104,89,155,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB-,10
Lung cancer,Ibuprofen,"Nausea, Headache, Dizziness",13,56,26,85,84,126,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,10
Anemia,Folic acid,"Nausea, Headache, Dizziness",10,61,27,91,80,167,Moderate,Yes,Food Allergy,None,A-,6
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",8,61,28,84,86,167,Low,Yes,None,None,B+,9
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",6,72,34,107,97,149,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,8
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",7,73,42,85,85,168,Low,No,None,None,B-,7
Obesity,Paracetamol,"Nausea, Headache, Dizziness",9,85,34,91,90,161,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
Dengue,ORS,"Nausea, Headache, Dizziness",12,83,25,106,81,120,Avoid,No,None,None,B+,7
Alzheimer’s disease,Paracetamol,"Nausea, Headache, Dizziness",13,76,28,63,92,152,Moderate,No,"Penicillin,Dust,None",None,O-,8
Gout,Amoxicillin,"Nausea, Headache, Dizziness",10,57,36,94,99,151,Avoid,No,Food Allergy,None,AB-,9
GERD,Ranitidine,"Nausea, Headache, Dizziness",12,64,36,87,82,126,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,7
Acne,Paracetamol,"Nausea, Headache, Dizziness",11,67,41,62,84,144,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB+,6
GERD,Ranitidine,"Nausea, Headache, Dizziness",15,78,36,83,96,133,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,6
Colon cancer,Ibuprofen,"Nausea, Headache, Dizziness",7,75,38,64,85,139,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,10
Ulcerative colitis,Ibuprofen,"Nausea, Headache, Dizziness",7,84,33,91,83,138,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,7
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",10,66,45,91,88,120,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,9
Pneumonia,Ibuprofen,"Nausea, Headache, Dizziness",13,73,27,74,87,142,Avoid,Yes,None,None,AB-,7
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",15,68,32,108,92,132,Moderate,Yes,"Penicillin,Dust,None",None,B+,10
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",7,62,25,74,90,150,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B+,8
Gout,Paracetamol,"Nausea, Headache, Dizziness",11,66,34,68,81,155,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",1,62,35,82,90,131,Low,Yes,None,"None,Statins,Insulin,BP Meds",O+,8
Mumps,Paracetamol,"Nausea, Headache, Dizziness",9,77,34,101,94,133,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,9
Chikungunya,Paracetamol,"Nausea, Headache, Dizziness",15,76,43,63,89,157,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,7
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",11,84,41,101,92,162,Low,No,None,"None,Statins,Insulin,BP Meds",O-,7
Asthma,Salbutamol,"Nausea, Headache, Dizziness",5,55,26,63,81,154,Low,Yes,None,None,AB+,6
Epilepsy,Paracetamol,"Nausea, Headache, Dizziness",1,53,34,108,97,157,Avoid,No,"Penicillin,Dust,None",None,AB-,9
Chronic kidney disease,Ibuprofen,"Nausea, Headache, Dizziness",9,65,31,60,90,123,Avoid,Yes,Food Allergy,None,O-,10
Migraine,Amoxicillin,"Nausea, Headache, Dizziness",15,59,28,90,80,170,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",1,62,44,100,82,151,Low,Yes,None,"None,Statins,Insulin,BP Meds",O+,7
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",7,72,33,94,98,136,Avoid,No,None,None,O-,6
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",13,84,38,68,85,126,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,10
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",2,54,35,76,96,146,Low,Yes,"Penicillin,Dust,None",None,O+,9
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",6,66,32,96,90,132,Avoid,No,Food Allergy,None,O+,6
Osteoporosis,Ibuprofen,"Nausea, Headache, Dizziness",7,50,39,93,84,143,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,7
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",12,76,45,75,86,169,Moderate,Yes,Food Allergy,None,A+,9
Mumps,Ibuprofen,"Nausea, Headache, Dizziness",6,80,39,97,85,138,Low,No,None,None,A+,6
Obesity,Paracetamol,"Nausea, Headache, Dizziness",10,50,36,98,90,141,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Lung cancer,Ibuprofen,"Nausea, Headache, Dizziness",9,69,28,82,81,120,Moderate,No,None,None,A-,8
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",11,68,36,108,80,167,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,6
Anemia,Folic acid,"Nausea, Headache, Dizziness",12,73,25,76,95,169,Avoid,No,"Penicillin,Dust,None",None,B-,8
Coronary artery disease,Ibuprofen,"Nausea, Headache, Dizziness",15,68,26,84,82,131,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,9
Influenza,Zanamivir,"Nausea, Headache, Dizziness",3,57,40,65,85,137,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,7
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",15,58,31,104,91,120,Moderate,Yes,Food Allergy,None,O-,10
Lung cancer,Paracetamol,"Nausea, Headache, Dizziness",6,69,45,73,82,127,Low,Yes,None,"None,Statins,Insulin,BP Meds",O+,6
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",14,71,32,108,87,136,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,9
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",15,78,38,97,98,144,Low,No,"Penicillin,Dust,None",None,O+,10
Common Cold,Paracetamol,"Nausea, Headache, Dizziness",6,73,44,99,99,131,Low,Yes,Food Allergy,None,AB+,7
Parkinson’s disease,Ibuprofen,"Nausea, Headache, Dizziness",5,67,45,71,91,144,Avoid,No,None,None,B-,9
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",10,55,25,100,85,135,Avoid,No,None,None,O+,8
UTI,Ciprofloxacin,"Nausea, Headache, Dizziness",4,67,28,80,85,120,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,7
COPD,Ibuprofen,"Nausea, Headache, Dizziness",11,69,25,106,87,142,Moderate,Yes,"Penicillin,Dust,None",None,O-,8
Syphilis,Paracetamol,"Nausea, Headache, Dizziness",12,58,41,66,93,124,Low,No,Food Allergy,None,O+,6
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",1,69,39,78,99,128,Avoid,No,"Penicillin,Dust,None",None,AB+,6
Psoriasis,Ibuprofen,"Nausea, Headache, Dizziness",14,64,25,85,81,136,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,7
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",11,69,38,71,82,161,Low,No,"Penicillin,Dust,None",None,O-,10
Gout,Ibuprofen,"Nausea, Headache, Dizziness",6,57,27,82,92,146,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Anemia,Iron supplements,"Nausea, Headache, Dizziness",5,71,32,108,83,151,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Colon cancer,Amoxicillin,"Nausea, Headache, Dizziness",4,71,31,93,93,122,Low,Yes,None,None,O-,7
Alzheimer’s disease,Amoxicillin,"Nausea, Headache, Dizziness",3,54,36,98,96,160,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
IBS,Paracetamol,"Nausea, Headache, Dizziness",3,50,31,65,97,126,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Obesity,Ibuprofen,"Nausea, Headache, Dizziness",14,75,40,97,83,129,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O-,6
Parkinson’s disease,Ibuprofen,"Nausea, Headache, Dizziness",4,52,32,76,92,154,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,7
Lymphoma,Paracetamol,"Nausea, Headache, Dizziness",3,78,41,92,90,155,Low,No,None,None,AB+,10
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",12,60,45,108,98,144,Moderate,Yes,Food Allergy,None,O+,10
Diabetes mellitus type 2,Metformin,"Nausea, Headache, Dizziness",12,69,40,75,88,122,Moderate,No,"Penicillin,Dust,None",None,O+,6
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",3,77,43,74,90,156,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
