Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Tuberculosis,Rifampicin,Dry Mouth,15,89,46,118,80,164,Yes,No,Peanuts,None,AB-,9
Asthma,Budesonide,Dry Mouth,4,73,32,71,84,171,Occasional,Yes,Penicillin,None,AB-,6
Typhoid,Cefixime,Constipation,1,44,37,93,100,148,No,Not Applicable,Pollen,Vitamin D,A+,9
Asthma,Budesonide,Sleepiness,5,59,36,86,84,165,Occasional,Not Applicable,None,Multivitamin,B+,9
PCOS,Clomiphene,Constipation,7,78,44,65,88,166,Yes,Yes,Pollen,Iron Supplement,A-,9
Migraine,Sumatriptan,Headache,10,87,34,88,94,136,Occasional,Yes,Pollen,Multivitamin,AB-,5
Anxiety,Clonazepam,Dizziness,7,84,42,101,80,126,No,Yes,Pollen,Multivitamin,B-,9
Anxiety,Buspirone,Rash,3,61,32,98,80,167,No,Not Applicable,Sulfa,Calcium,AB+,8
Hypertension,Amlodipine,Fatigue,1,89,32,114,97,156,No,Not Applicable,Dust,Multivitamin,A+,8
Tuberculosis,Isoniazid,Dry Mouth,4,66,38,118,91,141,No,Not Applicable,Sulfa,Iron Supplement,AB+,10
Typhoid,Azithromycin,Vomiting,15,59,33,74,90,129,Occasional,Yes,None,Vitamin D,A-,4
Hypertension,Atenolol,Rash,15,73,39,84,81,122,Occasional,Yes,Dust,None,AB+,10
Malaria,Artemether,Vomiting,4,49,42,99,94,125,Yes,Yes,None,Vitamin D,AB-,9
Diabetes,Metformin,Dry Mouth,10,55,34,61,99,177,Yes,No,Peanuts,Calcium,O-,9
Depression,Sertraline,Constipation,2,73,33,72,80,145,No,No,Peanuts,None,O+,6
Typhoid,Cefixime,Rash,18,86,49,97,92,137,Yes,No,Dust,Vitamin D,AB+,5
Kidney Disease,Erythropoietin,Headache,18,49,48,110,94,178,Occasional,Not Applicable,Dust,Vitamin D,O+,6
Cancer,Paclitaxel,Nausea,10,43,31,64,98,160,Occasional,Yes,Sulfa,Vitamin D,O+,7
Tuberculosis,Rifampicin,Dizziness,1,48,50,88,91,138,Occasional,Not Applicable,Pollen,Iron Supplement,AB+,7
Typhoid,Azithromycin,Dizziness,10,48,45,65,82,150,Occasional,Yes,Dust,Multivitamin,O+,10
Hypertension,Atenolol,Rash,2,75,45,91,89,129,Yes,Yes,None,Multivitamin,O+,9
Diabetes,Metformin,Vomiting,8,60,38,61,94,157,Occasional,Yes,Dust,Calcium,O+,9
Arthritis,Methotrexate,Dry Mouth,18,43,36,111,85,164,Occasional,Yes,Sulfa,Iron Supplement,AB-,8
Diabetes,Insulin,Dizziness,12,50,35,82,82,169,No,Not Applicable,Penicillin,Calcium,O-,10
Typhoid,Cefixime,Headache,6,64,34,82,98,139,Yes,Not Applicable,Dust,Multivitamin,B+,7
Depression,Escitalopram,Fatigue,8,69,38,92,82,145,No,Not Applicable,Dust,Vitamin D,A+,7
Tuberculosis,Rifampicin,Nausea,7,49,37,85,85,147,Occasional,Yes,Dust,Multivitamin,B-,6
Diabetes,Metformin,Headache,17,72,47,80,88,142,Yes,No,Peanuts,None,B+,4
Arthritis,Methotrexate,Dizziness,12,48,38,108,94,137,Yes,Yes,None,None,B+,9
Kidney Disease,Erythropoietin,Sleepiness,10,52,34,102,83,148,No,Yes,Dust,Multivitamin,O+,9
Tuberculosis,Isoniazid,Vomiting,7,52,38,80,93,127,No,Not Applicable,None,Vitamin D,O+,6
Malaria,Chloroquine,Fatigue,12,72,34,114,100,171,Yes,Not Applicable,Pollen,Vitamin D,AB+,9
Asthma,Salbutamol,Nausea,16,55,49,118,83,128,Yes,Not Applicable,None,Multivitamin,A+,9
Typhoid,Azithromycin,Vomiting,17,48,43,60,89,176,No,Not Applicable,Peanuts,Multivitamin,B-,10
Thyroid Disorder,Carbimazole,Fatigue,17,68,41,119,82,121,Occasional,Yes,None,Multivitamin,AB-,6
Allergy,Fexofenadine,Rash,7,52,33,119,86,129,Occasional,Yes,Pollen,None,AB+,7
Typhoid,Ciprofloxacin,Fatigue,15,59,36,61,85,128,Yes,Yes,Pollen,Multivitamin,AB-,10
Anxiety,Clonazepam,Diarrhea,12,66,48,73,92,161,No,Yes,Dust,None,A-,7
Arthritis,Diclofenac,Headache,2,84,38,75,90,177,Occasional,No,Penicillin,Iron Supplement,O-,5
Kidney Disease,Furosemide,Fatigue,2,83,32,64,100,170,Yes,No,Dust,Multivitamin,AB+,10
Obesity,Phentermine,Nausea,8,41,45,115,86,124,No,Not Applicable,Sulfa,None,AB+,4
Tuberculosis,Ethambutol,Rash,14,51,50,102,82,135,No,Yes,Penicillin,Calcium,O-,7
Arthritis,Methotrexate,Rash,18,83,45,102,99,125,Occasional,Yes,Dust,Iron Supplement,O-,8
Asthma,Salbutamol,Fatigue,14,86,38,82,100,134,Yes,Yes,None,Multivitamin,A+,6
Thyroid Disorder,Levothyroxine,Fatigue,18,67,39,90,99,151,Yes,Not Applicable,Sulfa,None,A+,9
Flu,Ibuprofen,Vomiting,4,62,45,108,87,168,Yes,Yes,Penicillin,Vitamin D,A+,7
Heart Disease,Clopidogrel,Diarrhea,12,90,39,96,81,144,Yes,Yes,None,Iron Supplement,B-,8
Hypertension,Atenolol,Rash,6,41,33,87,99,155,Yes,Not Applicable,None,Vitamin D,AB-,9
Tuberculosis,Ethambutol,Headache,6,83,30,85,93,174,Occasional,Yes,Dust,None,B+,4
Kidney Disease,Erythropoietin,Constipation,7,69,32,66,89,140,No,Not Applicable,Peanuts,None,A-,6
COVID-19,Favipiravir,Rash,12,72,45,100,87,139,Yes,No,Sulfa,Iron Supplement,A+,4
Liver Disease,Ursodeoxycholic Acid,Fatigue,8,44,42,66,92,132,No,Not Applicable,Pollen,None,AB-,10
Tuberculosis,Rifampicin,Nausea,5,45,31,68,80,151,No,Not Applicable,Penicillin,Vitamin D,O+,5
Tuberculosis,Ethambutol,Constipation,13,73,50,106,100,134,Occasional,Yes,Sulfa,Iron Supplement,AB-,4
Kidney Disease,Erythropoietin,Fatigue,18,51,35,99,88,143,Yes,Yes,Dust,None,O-,6
Thyroid Disorder,Levothyroxine,Fatigue,4,75,30,83,93,177,No,Not Applicable,None,Calcium,O+,8
Arthritis,Diclofenac,Vomiting,16,56,38,100,92,178,No,Yes,Sulfa,None,AB-,6
Flu,Ibuprofen,Dry Mouth,10,60,38,113,86,159,No,No,Sulfa,Calcium,B-,4
Hypertension,Atenolol,Constipation,10,48,44,120,84,129,Yes,No,Sulfa,None,O-,9
Allergy,Fexofenadine,Dizziness,9,77,50,65,98,165,No,Not Applicable,Peanuts,Multivitamin,AB+,5
COVID-19,Paracetamol,Diarrhea,18,73,36,105,87,133,Yes,Yes,Peanuts,Multivitamin,B-,10
COVID-19,Paracetamol,Diarrhea,8,40,45,95,82,170,Occasional,No,Dust,None,O-,5
Liver Disease,Rifaximin,Sleepiness,8,78,34,104,82,135,No,Yes,Penicillin,Calcium,B+,5
Anxiety,Clonazepam,Constipation,6,85,42,118,95,135,Occasional,Not Applicable,Peanuts,Vitamin D,B-,5
Thyroid Disorder,Propylthiouracil,Vomiting,18,52,34,108,87,133,Yes,Not Applicable,None,Iron Supplement,O+,8
Asthma,Montelukast,Fatigue,4,62,33,79,89,141,No,No,Sulfa,None,A+,10
PCOS,Metformin,Sleepiness,6,82,43,81,84,139,Yes,Not Applicable,Sulfa,Vitamin D,AB-,7
PCOS,Clomiphene,Sleepiness,10,65,35,61,100,146,No,Not Applicable,Peanuts,None,B-,9
Liver Disease,Rifaximin,Fatigue,15,80,39,85,81,166,Occasional,Not Applicable,Dust,Calcium,B+,9
Allergy,Cetirizine,Headache,17,56,41,105,95,130,Yes,No,Penicillin,Vitamin D,AB+,8
Liver Disease,Lactulose,Rash,5,70,31,63,84,137,Yes,No,Dust,Iron Supplement,O-,6
Malaria,Primaquine,Fatigue,3,41,41,98,91,125,Occasional,Yes,Sulfa,Iron Supplement,B+,5
Malaria,Chloroquine,Sleepiness,1,69,46,107,91,179,Occasional,Yes,Peanuts,Multivitamin,O-,4
COVID-19,Paracetamol,Fatigue,1,82,46,85,87,174,Yes,Not Applicable,Penicillin,Vitamin D,AB-,9
Asthma,Salbutamol,Diarrhea,7,90,30,69,96,139,Occasional,Yes,Sulfa,None,A+,4
Kidney Disease,Calcitriol,Vomiting,18,82,50,86,96,124,Occasional,Yes,Pollen,Multivitamin,O-,9
Hypertension,Losartan,Dry Mouth,15,64,47,73,81,130,No,Not Applicable,Peanuts,None,B+,10
Kidney Disease,Furosemide,Fatigue,11,66,43,92,86,167,Yes,Not Applicable,Sulfa,Calcium,AB-,6
Cancer,Paclitaxel,Nausea,11,56,31,78,89,163,No,Not Applicable,Pollen,Iron Supplement,O+,10
Kidney Disease,Erythropoietin,Dry Mouth,5,48,38,75,94,178,Occasional,Not Applicable,Pollen,Multivitamin,O+,5
Migraine,Topiramate,Nausea,5,60,36,85,88,154,No,Yes,Pollen,Vitamin D,O+,7
COVID-19,Paracetamol,Fatigue,9,53,35,75,89,170,No,Yes,Dust,Calcium,B-,8
Hypertension,Losartan,Dry Mouth,16,43,35,91,85,130,Occasional,Yes,None,Calcium,AB-,9
Allergy,Fexofenadine,Sleepiness,12,49,36,71,83,136,No,Not Applicable,None,Multivitamin,A-,10
Asthma,Montelukast,Headache,14,42,47,104,83,144,Occasional,Not Applicable,None,None,A-,8
Diabetes,Metformin,Headache,14,68,36,88,95,152,Occasional,Not Applicable,Dust,Calcium,B+,5
PCOS,Metformin,Fatigue,15,47,38,79,86,139,No,Not Applicable,Penicillin,Vitamin D,B-,10
PCOS,Letrozole,Fatigue,12,55,41,72,86,141,Yes,No,Peanuts,Calcium,A-,5
Obesity,Phentermine,Fatigue,7,64,41,68,94,156,No,No,Penicillin,None,O-,8
Allergy,Fexofenadine,Diarrhea,13,52,49,115,92,155,No,Not Applicable,Dust,Calcium,B+,6
Typhoid,Azithromycin,Rash,4,47,44,93,89,160,Occasional,No,Pollen,Multivitamin,A-,10
Tuberculosis,Ethambutol,Vomiting,13,69,39,73,99,140,No,Not Applicable,Dust,Calcium,B+,10
Cancer,Cisplatin,Dry Mouth,11,81,49,91,81,134,Occasional,No,Peanuts,Iron Supplement,B+,8
Tuberculosis,Ethambutol,Diarrhea,8,57,32,95,92,157,Yes,Not Applicable,Sulfa,Multivitamin,AB-,4
Obesity,Phentermine,Dizziness,6,45,47,72,99,126,Occasional,No,Pollen,Vitamin D,B-,5
Typhoid,Ciprofloxacin,Fatigue,5,60,30,67,95,129,Yes,Yes,Peanuts,Multivitamin,O-,10
Typhoid,Azithromycin,Dry Mouth,5,59,30,115,81,157,No,Not Applicable,Dust,Vitamin D,A+,5
Malaria,Chloroquine,Sleepiness,13,52,42,117,99,175,No,Not Applicable,Peanuts,Iron Supplement,B-,5
Cancer,Imatinib,Rash,8,44,41,116,99,179,Occasional,Not Applicable,Dust,Iron Supplement,AB-,7
Anxiety,Alprazolam,Diarrhea,13,61,30,96,99,165,No,Yes,None,Multivitamin,O-,10
Typhoid,Cefixime,Vomiting,4,81,37,116,91,171,Yes,No,Penicillin,Iron Supplement,A+,6
Anxiety,Alprazolam,Vomiting,1,85,40,83,88,155,Yes,Not Applicable,Penicillin,None,O-,5
Hypertension,Losartan,Sleepiness,15,48,43,118,93,172,Yes,Yes,None,Calcium,AB+,10
Thyroid Disorder,Propylthiouracil,Dry Mouth,1,69,40,63,86,156,Yes,Not Applicable,Dust,Vitamin D,O+,8
Anxiety,Buspirone,Constipation,15,45,44,62,98,148,No,Not Applicable,Peanuts,Vitamin D,A+,7
Asthma,Montelukast,Fatigue,5,48,47,72,95,171,Occasional,Not Applicable,Pollen,Vitamin D,B+,7
Allergy,Fexofenadine,Diarrhea,11,41,47,82,98,140,No,Not Applicable,Sulfa,None,B-,5
Kidney Disease,Calcitriol,Vomiting,13,45,40,118,81,133,Occasional,No,None,Multivitamin,O-,9
Depression,Sertraline,Sleepiness,16,42,43,100,82,151,No,No,Pollen,Multivitamin,O-,4
Malaria,Artemether,Vomiting,6,77,46,107,81,174,Occasional,No,Penicillin,None,O-,4
Arthritis,Diclofenac,Sleepiness,1,88,37,77,99,123,Occasional,Not Applicable,Penicillin,Iron Supplement,A-,8
Anxiety,Buspirone,Dry Mouth,9,80,31,100,99,179,Occasional,Not Applicable,Dust,Iron Supplement,O-,7
Depression,Sertraline,Nausea,12,62,34,108,83,131,Yes,No,Pollen,None,A+,4
Flu,Oseltamivir,Constipation,5,46,44,97,97,171,No,Not Applicable,None,Vitamin D,A+,9
Tuberculosis,Ethambutol,Dizziness,16,50,43,113,97,143,Yes,Yes,None,Multivitamin,A-,6
Depression,Fluoxetine,Fatigue,14,76,31,104,89,154,Occasional,No,None,None,B-,9
Malaria,Chloroquine,Dry Mouth,10,43,32,115,93,142,Occasional,Yes,Peanuts,Multivitamin,O-,10
Hypertension,Losartan,Diarrhea,10,62,31,79,97,163,No,Yes,Sulfa,Iron Supplement,AB-,7
Kidney Disease,Calcitriol,Sleepiness,14,60,35,103,82,123,No,Not Applicable,Peanuts,Vitamin D,O-,6
Typhoid,Ciprofloxacin,Vomiting,11,82,43,90,96,174,No,Not Applicable,Sulfa,Calcium,B-,8
Allergy,Cetirizine,Dry Mouth,1,75,48,104,96,148,No,Yes,Penicillin,Vitamin D,AB-,8
Diabetes,Insulin,Vomiting,12,74,30,115,88,169,Occasional,Not Applicable,Penicillin,Calcium,A-,4
Arthritis,Methotrexate,Constipation,6,44,33,109,89,128,Occasional,No,Peanuts,Multivitamin,AB-,4
Liver Disease,Ursodeoxycholic Acid,Vomiting,5,67,42,89,87,163,Occasional,Not Applicable,Peanuts,None,AB-,9
Asthma,Budesonide,Diarrhea,15,90,44,103,93,144,No,Not Applicable,Peanuts,Vitamin D,AB-,10
Depression,Fluoxetine,Constipation,10,58,31,87,84,168,Yes,Not Applicable,Dust,Calcium,B+,4
Thyroid Disorder,Propylthiouracil,Dry Mouth,1,85,41,62,99,176,Yes,No,None,Multivitamin,O+,10
Heart Disease,Clopidogrel,Constipation,8,47,39,112,83,148,Occasional,No,Penicillin,None,A-,6
Obesity,Liraglutide,Rash,11,69,46,94,87,132,Occasional,Yes,Pollen,Calcium,A-,8
Tuberculosis,Ethambutol,Headache,10,53,38,68,97,130,No,Not Applicable,None,None,B+,7
Migraine,Topiramate,Dizziness,1,81,39,98,86,126,Occasional,Yes,Sulfa,Calcium,B-,8
Migraine,Topiramate,Fatigue,17,63,38,75,82,157,Yes,Yes,Penicillin,Vitamin D,A+,6
Cancer,Cisplatin,Rash,15,75,34,102,88,165,No,No,None,Calcium,AB-,10
Heart Disease,Aspirin,Dry Mouth,6,64,30,119,80,168,No,Yes,Peanuts,None,B+,9
Flu,Ibuprofen,Constipation,1,61,33,92,80,174,Yes,Not Applicable,None,Vitamin D,AB+,8
Asthma,Salbutamol,Headache,7,76,48,105,88,160,Occasional,No,Sulfa,Iron Supplement,B-,5
Obesity,Phentermine,Constipation,5,57,38,71,89,149,No,Yes,Pollen,Calcium,A+,4
Migraine,Sumatriptan,Sleepiness,11,72,40,70,89,123,Yes,No,Peanuts,Vitamin D,O+,8
Malaria,Chloroquine,Diarrhea,5,88,36,104,81,120,Occasional,Not Applicable,None,None,AB+,9
Heart Disease,Aspirin,Diarrhea,9,83,45,78,87,164,Yes,Yes,Pollen,Calcium,AB+,8
Cancer,Imatinib,Dry Mouth,7,58,40,83,91,156,Yes,No,Pollen,Multivitamin,AB+,8
Flu,Paracetamol,Nausea,17,76,47,84,86,162,No,No,Dust,Multivitamin,O+,6
Anxiety,Alprazolam,Vomiting,13,49,49,75,87,141,Yes,No,Peanuts,None,O+,6
Hypertension,Amlodipine,Diarrhea,11,44,43,108,92,154,No,No,None,Iron Supplement,O-,10
Malaria,Chloroquine,Rash,11,43,31,70,96,180,Occasional,No,Dust,Calcium,B+,6
Allergy,Fexofenadine,Nausea,11,55,32,110,96,165,Yes,Not Applicable,Dust,Multivitamin,B-,10
Cancer,Imatinib,Sleepiness,14,53,42,63,97,154,No,Not Applicable,Sulfa,Iron Supplement,A-,5
Anxiety,Alprazolam,Fatigue,8,43,36,116,100,167,Yes,Not Applicable,None,None,B+,7
Cancer,Imatinib,Rash,17,65,47,97,82,132,Yes,Yes,Penicillin,Vitamin D,B-,8
Cancer,Cisplatin,Nausea,1,62,34,105,84,134,Yes,Not Applicable,Peanuts,None,AB-,9
Anxiety,Alprazolam,Fatigue,2,47,45,98,84,152,No,Not Applicable,None,Multivitamin,B+,9
Flu,Ibuprofen,Headache,9,53,49,114,81,167,Occasional,Not Applicable,None,None,A-,4
Diabetes,Metformin,Headache,10,71,50,97,80,134,No,Yes,Penicillin,None,O+,9
Liver Disease,Rifaximin,Rash,4,84,32,76,92,171,Yes,No,Pollen,None,AB-,4
Tuberculosis,Ethambutol,Headache,6,67,35,83,86,123,Occasional,Not Applicable,Penicillin,None,O+,8
Depression,Fluoxetine,Headache,14,49,41,85,86,127,No,No,Pollen,Calcium,A+,10
Flu,Ibuprofen,Constipation,17,73,41,103,86,145,No,Yes,Sulfa,Multivitamin,B+,7
Depression,Escitalopram,Headache,16,72,39,107,91,174,Yes,Yes,Peanuts,None,O-,6
PCOS,Letrozole,Nausea,17,54,42,73,91,128,Occasional,Not Applicable,Sulfa,None,B-,4
Flu,Paracetamol,Diarrhea,13,83,45,64,80,176,Occasional,No,Pollen,Multivitamin,A-,6
Thyroid Disorder,Carbimazole,Rash,5,42,30,88,91,120,Occasional,Not Applicable,Penicillin,None,AB+,7
Malaria,Artemether,Dry Mouth,6,63,34,107,87,166,No,No,Sulfa,None,AB+,10
Heart Disease,Clopidogrel,Dry Mouth,3,42,47,106,92,147,Occasional,No,Penicillin,Vitamin D,B-,9
Heart Disease,Clopidogrel,Sleepiness,5,51,47,114,94,139,Occasional,No,Pollen,Iron Supplement,B-,6
PCOS,Metformin,Nausea,6,83,32,88,82,159,Yes,Yes,Penicillin,Calcium,B+,6
Thyroid Disorder,Levothyroxine,Dry Mouth,4,78,47,100,83,151,No,Yes,Peanuts,Iron Supplement,AB+,5
Typhoid,Ciprofloxacin,Sleepiness,3,83,44,80,81,124,No,Yes,Sulfa,Multivitamin,O+,5
Anxiety,Buspirone,Dry Mouth,6,69,31,114,85,132,Occasional,Yes,Pollen,None,O+,9
Liver Disease,Ursodeoxycholic Acid,Fatigue,14,87,41,90,82,154,Yes,Not Applicable,Peanuts,Vitamin D,O+,8
Flu,Ibuprofen,Diarrhea,8,57,46,113,81,131,No,Yes,Peanuts,None,A-,8
Malaria,Primaquine,Constipation,11,58,48,87,93,143,Yes,No,Penicillin,Multivitamin,AB+,10
Kidney Disease,Calcitriol,Sleepiness,3,58,43,78,99,156,Occasional,Not Applicable,Dust,None,B-,7
Obesity,Liraglutide,Dry Mouth,5,84,50,70,87,176,Occasional,Not Applicable,Pollen,Iron Supplement,B-,10
COVID-19,Favipiravir,Nausea,7,88,43,62,95,148,Yes,No,Peanuts,Calcium,AB+,5
Thyroid Disorder,Levothyroxine,Headache,15,45,48,82,86,149,Occasional,Yes,Dust,Multivitamin,O+,4
Arthritis,Ibuprofen,Nausea,10,41,48,93,99,130,Occasional,Yes,Penicillin,Multivitamin,B-,5
Anxiety,Clonazepam,Diarrhea,8,89,33,77,84,151,No,Not Applicable,Dust,Calcium,AB-,10
Malaria,Chloroquine,Diarrhea,3,70,32,93,88,130,Yes,Not Applicable,Peanuts,Calcium,AB-,8
PCOS,Clomiphene,Diarrhea,6,80,45,65,96,164,No,Yes,Peanuts,Calcium,O+,4
Arthritis,Diclofenac,Dizziness,5,69,31,77,96,133,No,Yes,Sulfa,Iron Supplement,AB+,7
Tuberculosis,Isoniazid,Rash,9,56,32,88,81,124,No,Yes,None,Iron Supplement,A+,8
Diabetes,Metformin,Dizziness,9,72,41,61,96,160,Occasional,Yes,Dust,Multivitamin,B+,6
Diabetes,Insulin,Nausea,6,59,50,82,98,131,No,Not Applicable,Peanuts,None,O+,4
PCOS,Metformin,Fatigue,18,77,47,87,95,133,Occasional,No,Sulfa,None,O-,4
Flu,Oseltamivir,Dry Mouth,2,67,41,99,84,172,No,Yes,Penicillin,None,AB-,5
Cancer,Cisplatin,Sleepiness,8,76,40,85,81,161,No,Not Applicable,Penicillin,Multivitamin,O+,8
Arthritis,Diclofenac,Sleepiness,16,62,41,76,90,121,Occasional,Yes,Dust,Vitamin D,AB-,9
Flu,Paracetamol,Nausea,16,46,36,109,99,124,No,No,Sulfa,Vitamin D,AB+,10
PCOS,Clomiphene,Headache,1,46,38,75,90,164,Occasional,Not Applicable,Dust,Iron Supplement,A+,5
Depression,Fluoxetine,Vomiting,5,49,48,89,81,157,Occasional,No,Dust,Iron Supplement,AB-,7
Asthma,Budesonide,Sleepiness,8,62,36,106,90,120,Yes,Not Applicable,Dust,Vitamin D,O+,8
Asthma,Salbutamol,Vomiting,8,49,34,91,96,149,Occasional,Not Applicable,Pollen,Multivitamin,A+,9
Migraine,Sumatriptan,Constipation,6,75,38,73,87,120,Yes,Yes,Dust,Calcium,A+,9
Heart Disease,Atorvastatin,Rash,17,51,38,86,85,174,No,Not Applicable,Pollen,Iron Supplement,B-,10
Depression,Fluoxetine,Constipation,14,43,48,76,90,141,Occasional,Not Applicable,Peanuts,Calcium,A-,10
Flu,Oseltamivir,Fatigue,13,49,31,102,83,148,No,No,Peanuts,Multivitamin,A-,5
Liver Disease,Lactulose,Dizziness,11,41,33,105,96,120,Yes,Yes,Dust,None,AB+,8
Anxiety,Buspirone,Dry Mouth,14,76,48,100,90,149,Occasional,No,Sulfa,Calcium,AB-,7
Malaria,Chloroquine,Nausea,12,52,37,78,93,141,Occasional,Yes,Sulfa,Calcium,AB+,9
Heart Disease,Clopidogrel,Headache,16,87,46,99,95,129,No,Not Applicable,Peanuts,Calcium,A-,10
Kidney Disease,Erythropoietin,Fatigue,6,84,36,70,83,159,Occasional,No,Sulfa,Calcium,AB+,7
PCOS,Clomiphene,Vomiting,6,47,47,75,90,146,Yes,Yes,Penicillin,Vitamin D,A-,9
Liver Disease,Lactulose,Headache,13,48,34,87,99,152,No,Not Applicable,Penicillin,None,O+,10
COVID-19,Favipiravir,Dry Mouth,10,66,44,77,89,168,Occasional,Not Applicable,Dust,Iron Supplement,A-,9
Typhoid,Cefixime,Headache,7,76,46,73,97,124,Occasional,Not Applicable,Peanuts,Multivitamin,AB+,10
Thyroid Disorder,Carbimazole,Vomiting,13,46,43,61,84,165,No,No,Penicillin,Iron Supplement,O-,9
Thyroid Disorder,Levothyroxine,Fatigue,4,74,43,99,85,136,Yes,No,Pollen,Calcium,AB+,10
Kidney Disease,Calcitriol,Dizziness,9,59,35,73,93,131,Yes,Yes,Peanuts,None,A+,8
Thyroid Disorder,Carbimazole,Constipation,15,43,32,68,85,122,No,Yes,Peanuts,Multivitamin,AB+,8
Obesity,Liraglutide,Diarrhea,16,61,50,61,93,154,No,No,Sulfa,None,O+,7
Migraine,Propranolol,Dizziness,12,81,50,108,91,127,Occasional,Not Applicable,Dust,Calcium,B-,8
Liver Disease,Ursodeoxycholic Acid,Nausea,15,71,45,93,89,156,No,No,Dust,None,AB-,9
Allergy,Fexofenadine,Dry Mouth,12,51,39,98,99,172,Occasional,Yes,Sulfa,Vitamin D,O-,7
Kidney Disease,Furosemide,Dizziness,1,41,37,93,87,151,Occasional,Yes,Sulfa,None,B+,10
Tuberculosis,Ethambutol,Headache,4,85,31,119,87,139,No,Yes,None,Multivitamin,B+,8
Kidney Disease,Erythropoietin,Rash,18,76,41,70,91,137,No,No,None,Calcium,O+,6
Flu,Ibuprofen,Vomiting,15,84,46,96,96,138,Occasional,Yes,Peanuts,Iron Supplement,A-,5
Hypertension,Atenolol,Rash,18,81,38,115,90,170,No,Yes,Peanuts,Vitamin D,A+,8
Allergy,Loratadine,Sleepiness,4,44,31,85,83,165,No,Not Applicable,Sulfa,Calcium,A+,6
Anxiety,Alprazolam,Nausea,15,49,40,94,87,131,Yes,Yes,Pollen,None,B+,10
Arthritis,Methotrexate,Headache,16,88,47,108,86,127,Occasional,Yes,None,Calcium,AB+,5
Depression,Fluoxetine,Headache,15,54,32,100,95,147,No,Yes,None,Calcium,O-,10
Depression,Sertraline,Dizziness,17,42,36,120,99,160,No,Not Applicable,Dust,None,B-,5
Asthma,Montelukast,Nausea,15,78,30,89,89,124,Occasional,Not Applicable,Dust,Vitamin D,AB+,5
Flu,Paracetamol,Headache,17,50,34,81,93,122,Yes,Yes,Peanuts,Calcium,O-,6
Depression,Escitalopram,Dizziness,12,71,50,67,87,153,Occasional,Not Applicable,Dust,Calcium,O-,5
Allergy,Cetirizine,Nausea,8,76,48,82,94,120,No,Not Applicable,Penicillin,Iron Supplement,B-,9
Asthma,Budesonide,Sleepiness,2,66,37,84,91,164,Yes,Not Applicable,Dust,Multivitamin,A-,8
Typhoid,Ciprofloxacin,Nausea,18,89,30,63,94,133,Occasional,Not Applicable,Dust,Iron Supplement,O+,10
Diabetes,Metformin,Rash,17,58,32,110,95,168,No,Yes,Dust,Vitamin D,A+,10
Heart Disease,Clopidogrel,Dizziness,15,63,43,112,85,156,Yes,Yes,Peanuts,None,AB-,10
Anxiety,Buspirone,Sleepiness,1,89,31,104,89,153,Yes,Yes,None,Calcium,O-,8
Depression,Escitalopram,Dizziness,18,80,45,64,94,162,Occasional,Not Applicable,Dust,None,AB+,6
Thyroid Disorder,Levothyroxine,Rash,14,62,38,89,80,134,No,No,None,Iron Supplement,B-,10
Cancer,Cisplatin,Fatigue,3,52,41,70,82,169,No,Not Applicable,Dust,None,A-,10
Allergy,Cetirizine,Nausea,13,45,38,85,92,162,Occasional,Yes,Pollen,Vitamin D,AB+,8
Anxiety,Buspirone,Rash,16,69,31,61,86,159,No,No,Peanuts,Iron Supplement,AB-,5
Typhoid,Ciprofloxacin,Constipation,7,68,30,83,80,163,No,No,Sulfa,Iron Supplement,AB+,10
Allergy,Fexofenadine,Dizziness,10,78,35,115,84,167,No,Yes,Peanuts,Multivitamin,B+,9
Heart Disease,Clopidogrel,Dizziness,9,55,40,75,91,149,Occasional,Not Applicable,Peanuts,Multivitamin,A+,10
Obesity,Liraglutide,Dry Mouth,1,88,30,82,80,159,Occasional,No,Sulfa,Multivitamin,B+,4
Obesity,Orlistat,Dry Mouth,14,41,38,69,98,158,No,Not Applicable,Sulfa,None,A-,6
Cancer,Cisplatin,Dry Mouth,3,44,45,117,93,142,No,Not Applicable,Peanuts,Vitamin D,AB-,4
Heart Disease,Aspirin,Sleepiness,9,48,37,70,91,134,Occasional,Not Applicable,Dust,Calcium,B-,10
Depression,Escitalopram,Rash,9,78,39,86,82,173,Occasional,Not Applicable,None,None,AB-,7
Typhoid,Cefixime,Constipation,14,40,36,88,100,164,Yes,No,Sulfa,Vitamin D,A-,8
Tuberculosis,Isoniazid,Constipation,14,51,31,94,86,144,Yes,Not Applicable,None,Iron Supplement,A-,4
Anxiety,Buspirone,Fatigue,14,65,48,86,99,155,Occasional,Yes,Penicillin,Calcium,O+,7
Depression,Fluoxetine,Diarrhea,5,44,40,97,80,135,Occasional,No,None,Multivitamin,O+,8
Diabetes,Metformin,Vomiting,16,55,31,103,89,138,Yes,Not Applicable,None,Multivitamin,AB-,9
Heart Disease,Clopidogrel,Dizziness,18,72,36,60,85,129,Occasional,Not Applicable,Penicillin,Multivitamin,A+,6
Cancer,Imatinib,Nausea,14,78,40,88,81,180,Occasional,No,Dust,Iron Supplement,O-,7
Liver Disease,Lactulose,Sleepiness,9,80,47,95,82,141,Yes,Not Applicable,Pollen,Iron Supplement,O+,10
